# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
13.60734089	-94.59673715
13.62214757	-95.07582206
13.63695426	-97.69241944
13.65176094	-93.52168893
13.66656762	-90.95460065
13.68137430	-91.99811253
13.69618098	-96.20678660
13.71098767	-109.76126937
13.72579435	-100.52151002
13.74060103	-95.26337823
13.75540771	-90.26306928
13.77021439	-91.23102327
13.78502108	-94.71908696
13.79982776	-116.79407750
13.81463444	-94.08072376
13.82944112	-94.06413437
13.84424781	-107.47380004
13.85905449	-96.86332112
13.87386117	-93.35731981
13.88866785	-93.96122821
13.90347453	-99.57442698
13.91828122	-102.30314569
13.93308790	-95.46403836
13.94789458	-101.13609534
13.96270126	-94.22646229
13.97750794	-92.32330913
13.99231463	-92.09249494
14.00712131	-91.03898275
14.02192799	-95.62957704
14.03673467	-105.67563595
14.05154136	-92.64742984
14.06634804	-91.59413282
14.08115472	-97.01488975
14.09596140	-103.31038991
14.11076808	-97.38879935
14.12557477	-105.18952190
14.14038145	-101.04284392
14.15518813	-110.68937084
14.16999481	-92.19877981
14.18480149	-85.98985213
14.19960818	-85.91638305
14.21441486	-90.63062327
14.22922154	-95.60631513
14.24402822	-94.98915051
14.25883491	-98.12722637
14.27364159	-98.28390710
14.28844827	-91.67170216
14.30325495	-87.94230280
14.31806163	-89.64777178
14.33286832	-93.69053613
14.34767500	-89.98428771
14.36248168	-90.51006796
14.37728836	-96.28447101
14.39209504	-100.11913445
14.40690173	-91.22308589
14.42170841	-90.83886288
14.43651509	-95.33136380
14.45132177	-98.59239087
14.46612846	-94.76899522
14.48093514	-98.98287327
14.49574182	-107.88228145
14.51054850	-93.14188085
14.52535518	-87.34540023
14.54016187	-89.36454983
14.55496855	-97.30316830
14.56977523	-93.93616753
14.58458191	-86.69496113
14.59938859	-85.22381383
14.61419528	-90.19550215
14.62900196	-92.06814001
14.64380864	-90.60406378
