# Frequency(Hz) Real(n) Imag(n)
5.606014924597022705e+11 2.020759131451402180e+00 3.484245204251252052e-04
5.621806515933916016e+11 2.020678999600195702e+00 1.765702233832279564e-03
5.637598107270809326e+11 2.020846581714821344e+00 3.304015612268027067e-03
5.653389698607701416e+11 2.021347594892959343e+00 5.006353918111080062e-03
5.669181289944594727e+11 2.022376074801448986e+00 6.934733988518793947e-03
5.684972881281488037e+11 2.024454080725350380e+00 9.115108368695236038e-03
5.700764472618381348e+11 2.029039184733070655e+00 1.036189419241562333e-02
5.716556063955273438e+11 2.033036431547719403e+00 7.290112315696612583e-03
5.732347655292166748e+11 2.034208821100071507e+00 3.918597611000745017e-03
5.748139246629060059e+11 2.034231955607751718e+00 1.123783616130155085e-03
5.763930837965953369e+11 2.033632907656235389e+00 -1.185324869628288620e-03
5.779722429302846680e+11 1.996055489894307478e+00 4.048357777800034446e-02
5.795514020639738770e+11 1.990630312368031785e+00 4.155571850431274278e-02
5.811305611976632080e+11 1.985279365771812410e+00 4.246783975972728137e-02
5.827097203313525391e+11 1.979976001959432574e+00 4.327199491917885221e-02
5.842888794650418701e+11 1.974711684773592379e+00 4.400911325929800222e-02
5.858680385987310791e+11 2.025075996782848886e+00 -6.639945829211563524e-03
5.874471977324204102e+11 2.023637246016356084e+00 -6.341294575762992762e-03
5.890263568661097412e+11 2.022352273562594505e+00 -5.807499310371337826e-03
5.906055159997990723e+11 2.021241398863592220e+00 -5.089505472141479803e-03
5.921846751334882812e+11 2.020310940730475568e+00 -4.230316697691866544e-03
5.937638342671776123e+11 2.019559088219316401e+00 -3.261895353101600375e-03
5.953429934008669434e+11 2.018981637015462294e+00 -2.204422005745851863e-03
5.969221525345562744e+11 2.018577059615585867e+00 -1.066805682104605751e-03
5.985013116682454834e+11 2.018351397963707328e+00 1.526212244473521440e-04
6.000804708019348145e+11 2.018324494881519993e+00 1.466002971369710682e-03
